,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20
1,2.23E-05,-1.23E-06,1.98E-06,7.68E-06,-3.90E-06,-1.74E-05,-1.77E-05,5.03E-06,4.80E-06,-2.12E-05,4.97E-06,-3.27E-06,-1.90E-06,2.11E-07,2.18E-05,1.04E-05,-6.33E-06,1.20E-05,1.55E-05,1.90E-05
2,1.11E-04,5.46E-05,7.02E-05,1.06E-04,6.09E-05,2.43E-05,1.69E-05,5.46E-05,4.01E-05,1.99E-05,2.00E-05,7.52E-06,-5.66E-07,-1.94E-06,1.32E-05,-3.11E-06,-2.53E-05,-2.15E-05,-4.93E-05,-4.23E-05
3,1.97E-04,1.08E-04,1.36E-04,2.01E-04,1.24E-04,6.45E-05,5.01E-05,1.02E-04,7.39E-05,5.92E-05,3.41E-05,1.74E-05,2.61E-07,-4.81E-06,3.94E-06,-1.69E-05,-4.46E-05,-5.45E-05,-1.13E-04,-1.02E-04
4,2.78E-04,1.58E-04,1.98E-04,2.90E-04,1.82E-04,1.02E-04,8.06E-05,1.46E-04,1.05E-04,9.48E-05,4.65E-05,2.53E-05,1.10E-07,-9.04E-06,-6.51E-06,-3.11E-05,-6.44E-05,-8.68E-05,-1.73E-04,-1.61E-04
5,3.52E-04,2.02E-04,2.53E-04,3.70E-04,2.34E-04,1.34E-04,1.07E-04,1.85E-04,1.31E-04,1.25E-04,5.65E-05,3.06E-05,-1.44E-06,-1.52E-05,-1.87E-05,-4.60E-05,-8.50E-05,-1.18E-04,-2.30E-04,-2.16E-04
6,4.16E-04,2.37E-04,3.00E-04,4.38E-04,2.78E-04,1.61E-04,1.28E-04,2.16E-04,1.53E-04,1.49E-04,6.34E-05,3.26E-05,-4.73E-06,-2.38E-05,-3.30E-05,-6.16E-05,-1.07E-04,-1.48E-04,-2.83E-04,-2.68E-04
7,4.69E-04,2.65E-04,3.36E-04,4.92E-04,3.13E-04,1.81E-04,1.44E-04,2.40E-04,1.68E-04,1.64E-04,6.68E-05,3.07E-05,-1.00E-05,-3.51E-05,-4.98E-05,-7.82E-05,-1.29E-04,-1.77E-04,-3.30E-04,-3.16E-04
8,5.10E-04,2.82E-04,3.63E-04,5.30E-04,3.37E-04,1.94E-04,1.53E-04,2.55E-04,1.77E-04,1.72E-04,6.64E-05,2.48E-05,-1.75E-05,-4.93E-05,-6.93E-05,-9.57E-05,-1.53E-04,-2.04E-04,-3.72E-04,-3.59E-04
9,5.38E-04,2.90E-04,3.79E-04,5.54E-04,3.52E-04,1.99E-04,1.56E-04,2.61E-04,1.79E-04,1.71E-04,6.20E-05,1.46E-05,-2.71E-05,-6.63E-05,-9.13E-05,-1.14E-04,-1.78E-04,-2.30E-04,-4.08E-04,-3.99E-04
10,5.54E-04,2.89E-04,3.84E-04,5.62E-04,3.56E-04,1.98E-04,1.52E-04,2.58E-04,1.74E-04,1.62E-04,5.38E-05,4.00E-07,-3.89E-05,-8.60E-05,-1.16E-04,-1.34E-04,-2.04E-04,-2.54E-04,-4.39E-04,-4.34E-04
11,5.58E-04,2.79E-04,3.79E-04,5.56E-04,3.51E-04,1.89E-04,1.43E-04,2.48E-04,1.64E-04,1.45E-04,4.19E-05,-1.75E-05,-5.26E-05,-1.08E-04,-1.43E-04,-1.54E-04,-2.30E-04,-2.77E-04,-4.65E-04,-4.64E-04
12,5.52E-04,2.61E-04,3.65E-04,5.38E-04,3.38E-04,1.75E-04,1.29E-04,2.31E-04,1.49E-04,1.22E-04,2.67E-05,-3.87E-05,-6.82E-05,-1.32E-04,-1.72E-04,-1.75E-04,-2.58E-04,-2.98E-04,-4.87E-04,-4.92E-04
13,5.37E-04,2.37E-04,3.45E-04,5.09E-04,3.18E-04,1.55E-04,1.10E-04,2.07E-04,1.29E-04,9.36E-05,8.74E-06,-6.26E-05,-8.51E-05,-1.58E-04,-2.02E-04,-1.97E-04,-2.85E-04,-3.19E-04,-5.05E-04,-5.16E-04
14,5.15E-04,2.08E-04,3.19E-04,4.73E-04,2.93E-04,1.32E-04,8.76E-05,1.80E-04,1.07E-04,6.12E-05,-1.15E-05,-8.85E-05,-1.03E-04,-1.84E-04,-2.33E-04,-2.19E-04,-3.13E-04,-3.39E-04,-5.20E-04,-5.37E-04
15,4.88E-04,1.76E-04,2.89E-04,4.32E-04,2.65E-04,1.07E-04,6.30E-05,1.49E-04,8.29E-05,2.65E-05,-3.34E-05,-1.16E-04,-1.22E-04,-2.11E-04,-2.65E-04,-2.42E-04,-3.40E-04,-3.58E-04,-5.33E-04,-5.57E-04
16,4.57E-04,1.43E-04,2.57E-04,3.89E-04,2.36E-04,7.96E-05,3.71E-05,1.17E-04,5.80E-05,-9.33E-06,-5.64E-05,-1.43E-04,-1.41E-04,-2.37E-04,-2.97E-04,-2.65E-04,-3.67E-04,-3.77E-04,-5.46E-04,-5.75E-04
17,4.26E-04,1.09E-04,2.24E-04,3.45E-04,2.06E-04,5.23E-05,1.05E-05,8.49E-05,3.33E-05,-4.49E-05,-7.99E-05,-1.71E-04,-1.61E-04,-2.64E-04,-3.29E-04,-2.87E-04,-3.93E-04,-3.97E-04,-5.58E-04,-5.92E-04
